Sample,Measurement,width,height,major_axis,minor_axis,angle
71923B,1,29.87,26.37,29.87,26.37,52.39
71923B,2,46.62,39.46,46.62,39.46,41.54
71923B,3,25.62,25.61,25.62,25.61,30.41
71923B,4,19.43,17.61,19.43,17.61,11
71923B,5,26.42,26.42,26.42,26.42,-1.04
71923B,6,22.81,22.82,22.81,22.82,-59.65
71923B,7,25.37,20.43,25.37,20.43,60.42
71923B,8,20.79,17.87,20.79,17.87,83.83
71923B,9,32.51,32.5,32.51,32.5,12.8
71923B,10,23.86,23.86,23.86,23.86,49.89
71923B,11,19.31,19.3,19.31,19.3,5.71
71923B,12,31.31,27.51,31.31,27.51,-44.29
71923B,13,37.47,16.75,37.47,16.75,62.7
71923B,14,16.98,16.98,16.98,16.98,-44.99
71923B,15,34.79,21.92,34.79,21.92,-61.18
71923B,16,14.89,14.89,14.89,14.89,0
71923B,17,14.91,14.91,14.91,14.91,-14.93
71923B,18,26.68,23.25,26.68,23.25,16.19
71923B,19,21.98,23.11,21.98,23.11,-34.84
71923B,20,34.39,34.39,34.39,34.39,35.9
71923B,21,17.39,17.4,17.39,17.4,-83.66
71923B,22,14.33,14.33,14.33,14.33,13.57
71923B,23,19.56,15.64,19.56,15.64,-17.88
71923B,24,36.99,36.99,36.99,36.99,-60.44
71923B,25,19.18,19.17,19.18,19.17,22.06
71923B,26,13.96,13.96,13.96,13.96,3.94
71923B,27,13.56,13.56,13.56,13.56,-67.06
71923B,28,29.62,29.63,29.62,29.63,-109.91
71923B,29,34.13,25.98,34.13,25.98,-86.82
71923B,30,40.54,28.56,40.54,28.56,19.65
71923B,31,34.18,34.18,34.18,34.18,17.16
71923B,32,31.22,26.8,31.22,26.8,-22.66
71923B,33,17.94,17.94,17.94,17.94,74.47
71923B,34,20.85,20.85,20.85,20.85,-38.45
71923B,35,24.17,24.17,24.17,24.17,20.95
71923B,36,23.71,12.16,23.71,12.16,-9.09
71923B,37,23.9,13.56,23.9,13.56,-67.06
71923B,38,14.69,14.69,14.69,14.69,-11.31
71923B,39,26.88,19.12,26.88,19.12,-28.81
71923B,40,22.28,22.28,22.28,22.28,-37.11
71923B,41,19.45,19.45,19.45,19.45,-57.09
71923B,42,27.56,15.35,27.56,15.35,-69.86
71923B,43,39.17,39.17,39.17,39.17,40.52
71923B,44,20.27,16.86,20.27,16.86,54.27
71923B,45,49.96,25.01,49.96,25.01,3.3
71923B,46,24.05,19.09,24.05,19.09,-83.5
71923B,47,26.41,26.41,26.41,26.41,53.13
71923B,48,26.93,26.93,26.93,26.93,-50.06
71923B,49,14.73,14.73,14.73,14.73,19.02
71923B,50,17.4,17.39,17.4,17.39,6.34
71923B,51,16.34,16.33,16.34,16.33,1.68
71923B,52,20.48,20.48,20.48,20.48,-39.28
71923B,53,17.05,17.06,17.05,17.06,-80.27
71923B,54,12.39,12.39,12.39,12.39,-54.46
71923B,55,18.26,18.26,18.26,18.26,-35.36
71923B,56,27.98,27.97,27.98,27.97,11.89
71923B,57,14.96,14.96,14.96,14.96,42.39
71923B,58,22.28,22.28,22.28,22.28,-82.57
71923B,59,26.57,26.57,26.57,26.57,49.39
71923B,60,17.32,17.31,17.32,17.31,3.18
71923B,61,18.26,18.25,18.26,18.25,-1.51
71923B,62,22.75,12.98,22.75,12.98,51
71923B,63,15.64,15.64,15.64,15.64,132.52
71923B,64,33.08,33.08,33.08,33.08,25.82
71923B,65,15.08,15.08,15.08,15.08,-37.23
71923B,66,27.07,23,27.07,23,28.7
71923B,67,29.1,23.12,29.1,23.12,-55.15
71923B,68,23.89,19.85,23.89,19.85,-57.84
71923B,69,25.07,17.32,25.07,17.32,43.87
71923B,70,16.89,16.89,16.89,16.89,-14.82
71923B,71,19.27,19.26,19.27,19.26,4.29
71923B,72,18.83,18.83,18.83,18.83,37.74
71923B,73,23.88,15.08,23.88,15.08,-80.84
71923B,74,17.22,17.21,17.22,17.21,30.14
71923B,75,29.61,18.08,29.61,18.08,-10.71
71923B,76,35.44,25.61,35.44,25.61,-30.41
71923B,77,7.99,7.99,7.99,7.99,32.73
71923B,78,31.97,28.59,31.97,28.59,29.14
71923B,79,23.45,23.45,23.45,23.45,55
71923B,80,29.49,23.06,29.49,23.06,-35.67
71923B,81,10.27,10.27,10.27,10.27,-10.78
71923B,82,13.32,13.32,13.32,13.32,-25.64
71923B,83,11.62,11.61,11.62,11.61,-7.12
71923B,84,28.58,26.18,28.58,26.18,-67.9
71923B,85,12.76,12.76,12.76,12.76,-19.8
71923B,86,20.4,14.09,20.4,14.09,-60.37
71923B,87,24.06,18.29,24.06,18.29,-29.93
71923B,88,27.1,19.6,27.1,19.6,-53.97
71923B,89,14.26,14.26,14.26,14.26,44.99
71923B,90,19.6,19.6,19.6,19.6,-36.02
71923B,91,27.98,27.97,27.98,27.97,-11.89
71923B,92,21.09,21.09,21.09,21.09,-30.06
71923B,93,31.58,31.58,31.58,31.58,-45.61
71923B,94,15.64,15.64,15.64,15.64,-17.88
71923B,95,12.27,12.27,12.27,12.27,-30.57
